,neighborhood,latitude,longitude,distance ufsc,distance ifsc,distance udesc,bar,restaurante,academia,mercado,ponto de ônibus
0,Centro,-27.5972029,-48.5494815,2.709233259613212,0.8194306638349715,4.553950843178597,50,50,47,25,9
1,Capoeiras,-27.5973329,-48.5900084,6.704179920806007,4.7207272531077695,8.470627111830437,50,21,26,6,9
2,Trindade,-27.5893834,-48.5224004,0.8685715675437888,2.015335575361737,1.7519667699992911,50,34,25,8,5
3,Agronômica,-27.5781447,-48.5357168,2.51278309872395,1.8240739872360965,3.1514554639306094,24,14,13,6,6
4,Saco dos Limões,-27.608267699999995,-48.5343435,1.7322927183779455,1.8246083345630977,3.80105723534487,18,8,4,6,1
5,Coqueiros,-27.6112016,-48.5808439,6.0063055266425565,4.279351836840286,7.979264409052311,21,20,16,2,4
6,Monte Cristo,-27.5905829,-48.6016347,7.884722227178996,5.8561119790916045,9.537097461135447,50,33,24,8,7
7,Jardim Atlântico,-27.5754924,-48.5967993,7.758979904400784,5.730975665564902,9.123975165407769,44,19,16,7,2
8,Itacorubi,-27.5815105,-48.5041925,2.473906217182601,3.986869799353384,0.5137003743931335,30,25,31,10,10
9,Costeira do Pirajubaé,-27.6341752,-48.5227973,4.115276618628221,4.920061273493784,5.630187329815674,5,4,3,1,0
10,Capivari,-27.4527368,-48.40678629999999,19.67975361015636,20.585248617767977,17.716058039648107,6,8,5,7,1
11,Tapera da Base,-27.59667,-48.54917,2.6791430693704417,0.7637185155602576,4.508554656867517,50,50,50,27,9
12,Estreito,-27.5909143,-48.5777018,5.5353068347514895,3.499551295858447,7.184731321102683,50,36,22,7,7
13,Monte Verde,-27.5595039,-48.4961059,4.907344623087747,5.918496326054951,3.0829958949510377,7,5,3,0,1
14,Balneário,-27.5795963,-48.5811379,6.149678261891726,4.126147332741347,7.53808165577469,35,27,17,5,6
15,São João do Rio Vermelho,-27.4838064,-48.4096375,16.788035988384248,17.88899455505335,14.761429599173072,3,0,4,4,2
16,Canto,-27.5867969,-48.5862206,6.435639611350751,4.390978065340665,8.004856639335356,50,39,25,9,10
17,Abraão,-27.6063282,-48.59352370000001,7.123376942113267,5.246283558897146,9.009979636866962,26,8,14,2,5
18,Santa Mônica,-27.5899277,-48.5097027,1.4561509074327037,3.2392564786316047,0.6298218619717542,46,27,22,5,7
19,Lagoa,-27.5435982,-48.4638369,8.271091618891912,9.520869961562603,6.229953462169192,2,15,0,0,1
20,Saco Grande,-27.5428005,-48.5005262,6.408835110041653,6.9812504441927805,4.833196339541312,6,6,2,5,0
21,Córrego Grande,-27.5990157,-48.5014203,2.0385802441433407,4.078601940962677,1.4832661308324164,24,7,7,2,2
22,Canasvieiras,-27.4295668,-48.4602439,19.614088114164367,19.947490773727353,17.959644324746645,46,36,9,9,1
23,Pantanal,-27.6085776,-48.5211424,1.2701044127079013,2.6801219751173377,2.965065133256197,30,20,5,5,6
24,Coloninha,-27.589098100000005,-48.5935081,7.1065493043811765,5.069569725488839,8.729293704338799,50,20,17,7,11
25,Barra da Lagoa,-27.574778,-48.4258352,9.802261208137383,11.670291148971524,7.907860844271079,50,31,8,12,1
26,Carianos,-27.6640339,-48.5386679,7.615009233520969,7.857676066522901,9.28411453318222,8,6,4,3,3
27,José Mendes,-27.6122607,-48.5462739,2.9220059442330166,2.1267491249665964,5.0018263880052105,9,11,3,1,2
28,Ingleses Centro,-27.4335291,-48.4044521,21.582851203849955,22.39293232677124,19.655182628892085,24,25,12,7,0
29,João Paulo,-27.5600069,-48.511119,4.272029927972589,4.828211165019943,2.9604913563911066,7,4,7,3,2
30,Campeche Leste,-27.6824506,-48.4905604,9.977249814875108,11.134656283868544,10.8148420389747,21,8,6,1,1
31,Campeche Sul,-27.6824506,-48.4905604,9.977249814875108,11.134656283868544,10.8148420389747,21,8,6,1,1
32,Rio Tavares Central,-27.6532143,-48.4870434,7.120871376240664,8.593236869775781,7.675945546142027,10,4,1,1,0
33,Santinho,-27.4537409,-48.3791116,21.288774601846605,22.37655082758757,19.259316382942245,8,11,2,6,1
34,Ponta das Canas,-27.3964294,-48.4274285,24.200936259222054,24.67426243620865,22.440235987100998,11,21,1,1,0
35,Vargem do Bom Jesus,-27.4469586,-48.4290406,19.060122630921107,19.75895306250049,17.19328785566185,2,2,1,3,0
36,Armação,-27.749039,-48.5076867,16.949527507934782,17.637619409573592,18.128988128922003,9,5,2,1,0
37,Cachoeira do Bom Jesus Leste,-27.4265307,-48.4236749,21.316421944520076,21.949212451013285,19.47603123757632,6,7,4,4,0
38,Pântano do Sul,-27.7798797,-48.5072329,20.373174062509445,21.020944703644034,21.55859541744565,9,8,0,1,0
39,Itaguaçu,-27.6146564,-48.59154960000001,7.125688340167267,5.394832664737088,9.102187439032924,27,10,15,2,3
40,Jurere Leste,-27.4415642,-48.491754,17.564781682466442,17.616740474797925,16.12651943414404,18,19,10,0,0
41,Campeche Norte,-27.59667,-48.54917,2.6791430693704417,0.7637185155602576,4.508554656867517,50,50,50,27,9
42,Vargem Grande,-27.462082,-48.4485196,16.68378343503115,17.296225763533364,14.874889413241036,3,1,1,4,0
43,Campeche Central,-27.6824506,-48.4905604,9.977249814875108,11.134656283868544,10.8148420389747,21,8,6,1,1
44,Ressacada,-27.666374600000005,-48.5325721,7.766283769634888,8.166470587122305,9.335717162213818,7,5,3,3,1
45,Morro das Pedras,-27.7143295,-48.5065495,13.118655798093808,13.89803382147099,14.267151316573653,9,2,0,0,0
46,Alto Ribeirão Leste,-27.703925899999994,-48.5338949,11.930606579456727,12.31461757169134,13.414213769243364,1,1,3,1,0
47,Alto Ribeirão,-27.703925899999994,-48.5338949,11.930606579456727,12.31461757169134,13.414213769243364,1,1,3,1,0
48,Ribeirão da Ilha[1],-27.59667,-48.54917,2.6791430693704417,0.7637185155602576,4.508554656867517,50,50,50,27,9
49,Santo Antônio,-27.511599,-48.514494,9.548322600136224,9.510315679689416,8.335767758222799,10,10,2,4,2
50,Sambaqui,-27.4924025,-48.5268313,11.66457788369514,11.34439449183726,10.63817079670147,7,13,1,3,0
51,Ingleses Sul,-27.4405232,-48.3647107,23.331866537892214,24.42051985801137,21.3000537246091,2,1,0,0,0
52,Bom Abrigo,-27.6118044,-48.5949399,7.371424982572755,5.573595689007073,9.313816281593473,23,9,9,2,2
53,Jurere Oeste,-27.4415642,-48.491754,17.564781682466442,17.616740474797925,16.12651943414404,18,19,10,0,0
54,Porto da Lagoa,-27.630841600000004,-48.472881,6.119626367853433,8.007691985607783,5.902506930701122,1,2,1,1,0
55,Cachoeira do Bom Jesus,-27.4265307,-48.4236749,21.316421944520076,21.949212451013285,19.47603123757632,6,7,4,4,0
56,Rio Tavares do Norte,-27.59667,-48.54917,2.6791430693704417,0.7637185155602576,4.508554656867517,50,50,50,27,9
57,Pedregal,-27.5725284,-48.6432245,12.261889695056727,10.216977462795157,13.708027036682394,8,3,2,4,2
58,Ratones,-27.504516100000004,-48.4903989,10.768175667257474,11.140115552777877,9.185144220336797,0,1,0,0,1
59,Canto da Lagoa,-27.6128504,-48.4854351,4.003052628881856,6.007325492167242,3.5500940840844173,2,6,1,0,0
60,Retiro,-27.5973002,-48.5496098,2.721909055908249,0.8358254586176914,4.5690685347551865,50,50,47,26,9
61,Cacupé,-27.5372014,-48.5245568,6.676628827299497,6.498573597877308,5.766632302960166,4,5,1,1,1
62,Lagoa Pequena,-27.528552,-48.453059,10.22183477951762,11.384220234978814,8.197016139255684,0,2,0,0,0
63,Barra do Sambaqui,-27.484567,-48.5197031,12.52841727669412,12.31629787363878,11.382499336639908,6,3,0,0,0
64,Caiacanga,-27.7634534,-48.5775373,19.286276110144527,19.22345738704366,20.983473925001462,0,1,0,3,0
65,Lagoinha do Norte,-27.3902923,-48.4256691,24.898030956259884,25.360985325948192,23.141311502948852,12,20,1,1,0
66,Base Aérea,-27.6721275,-48.5609768,9.178335004990878,8.940777305344094,11.046635722836672,0,0,0,0,0
67,Pedrita,-27.6472484,-48.4827319,6.781190752954285,8.383044070660736,7.1509080954892585,9,3,3,3,0
68,Açores,-27.7831494,-48.52515220000001,20.687230472936363,21.16627083979346,22.01063154542696,1,3,0,2,0
69,Costeira do Ribeirão,-27.7414288,-48.5574031,16.41904436499899,16.525004915527465,18.034510038405212,3,2,0,0,0
70,Moenda,-27.59667,-48.54917,2.6791430693704417,0.7637185155602576,4.508554656867517,50,50,50,27,9
71,Tapera,-27.6868132,-48.5640627,10.796743354282363,10.601927611815851,12.625771185364986,3,3,2,4,2
72,Daniela,-27.4489537,-48.5312504,16.512878846163066,16.110937420853773,15.469173495152473,0,12,0,1,0
73,Vargem Pequena,-27.4744795,-48.4616756,14.888786759203164,15.440917314838725,13.127993866752027,2,0,0,0,0
74,Canto dos Araçás,-27.5940745,-48.4609399,6.028753544501186,8.022440338340553,4.43641530272959,13,1,1,4,0
75,Recanto dos Açores,-27.5184149,-48.5154533,8.785210610448374,8.758043441124926,7.595106214576154,2,4,0,0,1
76,Canto do Lamim,-27.59667,-48.54917,2.6791430693704417,0.7637185155602576,4.508554656867517,50,50,50,27,9
77,Vargem de Fora,-27.59667,-48.54917,2.6791430693704417,0.7637185155602576,4.508554656867517,50,50,50,27,9
78,Dunas da Lagoa,-27.6214738,-48.4498522,7.606878068008072,9.631796938731283,6.714567709336307,4,6,0,0,0
79,Autódromo,-27.59667,-48.54917,2.6791430693704417,0.7637185155602576,4.508554656867517,50,50,50,27,9
80,Forte,-27.421110700000003,-48.4328476,21.468777205339123,22.003652552230314,19.681741222321058,12,10,6,4,0
81,Ingleses Norte,-27.4187793,-48.4080507,22.806809854231176,23.515950410809413,20.923288493157735,1,0,2,1,0
82,Caieira,-27.5966909,-48.53527490000001,1.3099716056174209,0.7816212944969457,3.2073788169119517,50,50,15,14,0
83,Praia Brava,-27.3976128,-48.4158254,24.54581998943575,25.106398473429106,22.734777040728897,7,1,0,1,0
84,Praia Mole,-27.603017,-48.4332483,8.772225577168857,10.803869638995357,7.322528520848643,19,3,0,0,1
